date,close,open,high,low,volume
2021-08-25,48987.33,47682.45,49277.00,47122.02,32646349931
2021-08-26,46851.47,48991.57,49365.10,46315.48,32666549568
2021-08-27,49077.57,46851.47,49185.12,46361.01,34511076995
2021-08-28,48942.94,49081.08,49309.83,48370.00,28568103401
2021-08-29,48802.58,48942.89,49667.10,47801.00,25889650240
2021-08-30,46993.71,48802.58,48906.51,46866.00,31847007016
2021-08-31,47112.50,46996.80,48259.68,46708.93,34730363427
2021-09-01,48839.86,47110.33,49125.00,46537.62,39139399125
2021-09-02,49279.37,48834.27,50392.19,48620.73,39508070319
2021-09-03,50025.00,49279.38,51064.44,48349.66,43206179619
2021-09-04,49942.98,50025.00,50558.75,49400.00,37471327794
2021-09-05,51789.17,49944.89,51907.08,49500.00,30322676319
2021-09-06,52698.81,51789.17,52802.03,51020.08,38884105426
2021-09-07,46894.50,52698.80,52944.96,42830.77,65210059683
2021-09-08,46060.36,46894.49,47381.47,44423.49,49007762488
2021-09-09,46400.00,46059.94,47400.00,45511.82,38672657013
2021-09-10,44851.45,46396.26,47040.76,44140.48,39154666597
2021-09-11,45171.83,44850.37,45989.94,44730.29,34499835245
2021-09-12,46024.23,45173.66,46462.98,44754.31,27881980161
2021-09-13,44947.72,46027.80,46900.00,43465.00,40969943253
2021-09-14,47127.22,44953.23,47274.92,44679.92,38652152880
2021-09-15,48148.12,47127.81,48475.00,46705.00,30484496466
2021-09-16,47753.16,48144.03,48499.99,47020.82,31764293754
2021-09-17,47303.50,47753.15,48176.64,46752.67,28727713711
2021-09-18,48314.56,47306.87,48825.62,47050.00,28575630451
2021-09-19,47255.92,48309.86,48379.19,46850.87,26967722648
2021-09-20,43012.97,47253.71,47358.92,42500.00,43909845642
2021-09-21,40719.60,43007.69,43639.88,39600.00,48701090088
2021-09-22,43575.10,40736.81,44035.44,40570.42,38139709246
2021-09-23,44897.59,43575.19,45000.00,43096.73,34244064430
2021-09-24,42848.92,44896.55,45200.00,40683.29,42839345714
2021-09-25,42705.51,42848.44,42998.76,41675.00,31604717236
2021-09-26,43178.02,42705.51,43937.00,40803.00,30661222077
2021-09-27,42171.76,43172.17,44366.96,42111.00,30980029059
2021-09-28,41026.07,42166.31,42780.00,40897.70,30214940550
2021-09-29,41522.16,41030.19,42638.99,40750.12,30602359905
2021-09-30,43824.43,41519.11,44110.17,41409.67,31141681925
2021-10-01,48165.76,43828.89,48500.00,43287.44,42850641582
2021-10-02,47657.69,48165.76,48359.33,47451.00,30614346492
2021-10-03,48233.99,47663.74,49300.00,47120.11,26638115879
2021-10-04,49245.54,48233.99,49505.00,46916.70,33383173002
2021-10-05,51493.99,49244.13,51906.23,49057.18,35873904236
2021-10-06,55339.48,51499.77,55757.11,50416.01,49034730168
2021-10-07,53797.82,55346.95,55356.85,53379.00,36807860413
2021-10-08,53963.82,53805.46,56113.00,53634.41,34800873924
2021-10-09,54962.29,53965.18,55500.00,53675.00,32491211414
2021-10-10,54690.53,54963.29,56545.24,54112.95,39527792364
2021-10-11,57487.44,54683.09,57833.23,54411.54,42637331698
2021-10-12,56005.10,57485.97,57674.55,53873.78,41083758949
2021-10-13,57367.32,56005.10,57771.33,54236.09,41684252783
2021-10-14,57359.51,57367.32,58520.71,56832.32,36615791366
2021-10-15,61695.39,57359.51,62910.00,56867.11,51780081801
2021-10-16,60877.42,61690.32,62350.00,60139.01,34250964237
2021-10-17,61527.11,60867.05,61744.17,58943.83,29032367511
2021-10-18,62042.41,61530.07,62675.19,59887.74,38055562075
2021-10-19,64303.14,62042.40,64500.00,61333.00,40471196346
2021-10-20,66026.54,64303.14,66999.00,63525.00,40788955582
2021-10-21,62204.02,66021.26,66650.85,62050.00,45908121370
2021-10-22,60687.64,62204.01,63750.00,60000.00,38434082775
2021-10-23,61300.01,60682.88,61750.00,59650.00,26882546034
2021-10-24,60854.48,61300.02,61491.96,59522.89,27316183882
2021-10-25,63083.54,60847.91,63726.58,60653.50,31064911614
2021-10-26,60337.62,63081.96,63290.49,59837.07,34878965587
2021-10-27,58455.47,60333.19,61488.00,58100.00,43657076893
2021-10-28,60591.65,58462.73,62477.47,57653.88,45257083247
2021-10-29,62276.72,60591.63,62974.00,60188.73,36856881767
2021-10-30,61892.41,62287.95,62379.20,60725.01,32157938616
2021-10-31,61343.68,61896.38,62427.02,60001.00,32241199927
2021-11-01,60949.54,61346.17,62500.00,59500.00,36150572843
2021-11-02,63266.51,60956.40,64300.00,60672.16,37746665647
2021-11-03,62935.41,63266.50,63568.36,60070.00,36124731509
2021-11-04,61444.50,62935.40,63114.14,60728.77,32615846901
2021-11-05,61006.15,61444.49,62638.59,60777.00,30605102446
2021-11-06,61539.31,61006.14,61599.25,60125.00,29094934221
2021-11-07,63309.13,61539.30,63327.96,61397.86,24726754302
2021-11-08,67554.84,63309.12,67792.77,63309.12,41125608330
2021-11-09,66944.66,67554.13,68568.85,66261.79,42357991721
2021-11-10,64912.20,66938.76,69000.00,62800.00,48730828378
2021-11-11,64807.59,64912.20,65600.00,64133.78,35880633236
2021-11-12,64147.90,64807.73,65477.06,62300.00,36084893887
2021-11-13,64400.01,64144.42,64990.00,63394.17,30474228777
2021-11-14,65505.02,64400.01,65525.00,63596.90,25122092191
2021-11-15,63624.59,65505.03,66339.90,63371.00,30558763548
2021-11-16,60107.98,63621.05,63624.60,58638.00,46844335592
2021-11-17,60351.51,60101.56,60824.38,58380.00,39178392930
2021-11-18,56898.00,60351.51,60977.21,56514.13,41388338699
2021-11-19,58122.16,56898.46,58412.12,55625.00,38702407772
2021-11-20,59760.76,58122.15,59900.00,57423.35,30624264863
2021-11-21,58671.21,59760.76,60070.00,58509.69,26123447605
2021-11-22,56280.81,58671.22,59526.51,55641.03,35036121783
2021-11-23,57566.85,56280.81,57886.03,55377.00,37485803899
2021-11-24,57162.66,57562.65,57607.97,55875.01,36635566789
2021-11-25,58987.27,57158.58,59445.99,57037.04,34284016248
